,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
0,0.432,0.884,-6.659,0.13,0.000527,0.624,108.948,0.0127,8,1,4
1,0.546,0.846,-5.719,0.181,0.0,0.74,162.043,0.0135,5,1,4
2,0.326,0.866,-4.541,0.101,7.37e-06,0.172,178.181,0.0044,9,0,4
3,0.671,0.599,-6.18,0.0405,0.0,0.448,121.849,0.0658,4,1,3
4,0.556,0.864,-5.87,0.0584,0.0,0.4,105.143,0.00958,3,0,4
5,0.417,0.934,-3.908,0.119,0.0015,0.287,127.066,0.000278,7,0,4
6,0.612,0.824,-4.758,0.0478,0.0,0.586,82.017,0.013,7,1,4
7,0.657,0.96,-3.524,0.07,0.000997,0.567,126.02,0.00169,5,0,4
8,0.596,0.607,-6.179,0.168,0.0,0.531,119.882,0.33,6,0,4
9,0.696,0.602,-6.156,0.159,2.11e-05,0.305,82.989,0.0679,0,0,4
10,0.755,0.695,-5.963,0.26,0.0,0.493,128.063,0.0179,9,1,4
11,0.849,0.758,-7.498,0.256,0.695,0.0684,115.058,0.499,8,1,4
12,0.563,0.664,-5.044,0.154,0.0,0.688,166.928,0.335,9,1,4
13,0.461,0.897,-3.982,0.092,0.0,0.358,165.107,0.00821,3,0,4
14,0.462,0.996,-2.973,0.231,0.00377,0.145,122.072,5.8e-05,11,0,4
15,0.179,0.912,-3.881,0.0791,0.000294,0.289,182.99,0.0014,4,0,3
16,0.387,0.929,-4.825,0.161,7.22e-06,0.591,180.359,0.00238,7,0,4
17,0.452,0.967,-3.607,0.514,0.0,0.313,145.231,0.00108,0,0,4
18,0.403,0.965,-2.238,0.0964,0.000276,0.431,112.363,3.81e-05,6,1,4
19,0.402,0.969,-2.825,0.181,0.0325,0.262,173.847,9.14e-05,8,1,4
20,0.405,0.94,-3.103,0.0844,2.79e-05,0.24,143.126,0.000102,1,0,4
21,0.73,0.785,-6.512,0.0554,0.0216,0.649,94.094,0.0464,8,1,4
22,0.55,0.917,-3.159,0.0638,0.0,0.601,126.115,0.00428,0,1,4
23,0.546,0.945,-4.399,0.0531,0.0,0.545,135.128,0.000311,1,1,4
24,0.65,0.574,-10.3,0.101,0.000112,0.441,83.963,0.396,11,0,4
25,0.627,0.879,-3.446,0.0955,6.87e-06,0.748,129.979,0.00193,9,1,4
26,0.459,0.926,-3.415,0.155,1.93e-05,0.569,151.534,0.0239,4,1,4
27,0.849,0.648,-6.188,0.0835,0.00636,0.195,106.058,0.0706,7,1,4
28,0.724,0.891,-0.354,0.294,0.0,0.71,92.478,0.0261,1,1,4
29,0.469,0.713,-5.619,0.0461,0.000188,0.267,154.994,0.0869,0,0,4
30,0.429,0.966,-4.605,0.0733,0.124,0.525,179.956,0.000209,8,1,4
31,0.426,0.888,-3.72,0.0987,0.0,0.387,144.111,0.000455,0,0,4
32,0.798,0.277,-11.096,0.39,5.25e-05,0.163,79.846,0.173,4,0,4
33,0.561,0.964,-6.593,0.522,3.78e-06,0.452,160.088,0.0118,1,1,4
34,0.39,0.939,-3.828,0.0787,0.0,0.495,161.997,5.08e-05,4,0,4
35,0.581,0.983,-3.291,0.0636,0.00654,0.417,110.038,0.00043,5,0,4
36,0.395,0.701,-5.471,0.0377,0.0049,0.148,172.965,0.00148,10,0,4
37,0.412,0.919,-7.291,0.184,0.0601,0.572,166.367,0.0124,5,1,4
38,0.728,0.727,-3.585,0.206,0.0,0.89,143.144,0.0128,2,1,4
39,0.581,0.959,1.06,0.362,0.000128,0.72,127.0,0.288,1,1,4
40,0.504,0.407,-14.462,0.21,0.0645,0.403,159.089,0.325,8,1,4
41,0.723,0.825,-3.529,0.0858,0.00838,0.123,146.966,0.0179,8,1,4
42,0.534,0.761,-4.343,0.0386,0.0,0.554,160.184,0.00664,0,1,4
43,0.613,0.764,-6.509,0.136,0.0,0.417,160.015,0.0527,2,1,4
44,0.623,0.983,-3.548,0.151,0.0617,0.271,134.975,9.62e-05,11,0,4
45,0.419,0.938,-3.12,0.0837,0.0,0.333,160.151,0.000683,7,1,4
46,0.686,0.656,-6.012,0.0383,0.0,0.397,127.985,0.438,1,0,4
47,0.56,0.925,-3.821,0.0872,0.0231,0.629,146.024,0.000197,6,0,4
48,0.789,0.72,-7.213,0.271,0.000714,0.212,141.506,0.000872,1,1,4
49,0.557,0.978,-3.965,0.0493,4.42e-06,0.499,149.887,0.000393,0,1,4
0,0.43,0.692,-4.234,0.0429,4.17e-06,0.401,156.261,0.254,6,1,4
1,0.671,0.962,-5.509,0.481,0.00663,0.183,114.003,0.0729,4,1,4
2,0.496,0.885,-2.969,0.0803,0.0,0.665,145.863,0.000886,11,0,4
3,0.596,0.607,-6.179,0.168,0.0,0.531,119.882,0.33,6,0,4
4,0.331,0.357,-7.627,0.0339,1.42e-05,0.322,172.695,0.00167,9,1,3
5,0.819,0.638,-4.831,0.226,0.000116,0.167,150.993,0.031,10,0,4
6,0.334,0.599,-5.742,0.0365,0.000392,0.127,161.74,0.0468,0,1,3
7,0.407,0.98,-1.58,0.107,0.000112,0.537,131.066,0.00174,7,1,4
8,0.632,0.922,-2.173,0.0794,1.81e-05,0.497,88.972,0.00558,7,1,4
9,0.457,0.965,0.457,0.486,0.0,0.604,170.122,0.085,1,1,4
10,0.554,0.978,-3.554,0.131,0.0,0.594,135.095,0.111,4,1,4
11,0.712,0.734,-4.91,0.0238,0.000173,0.745,95.996,0.382,8,1,4
12,0.849,0.758,-7.498,0.256,0.695,0.0684,115.058,0.499,8,1,4
13,0.777,0.658,-5.191,0.054,0.0,0.633,110.048,0.0767,0,1,4
14,0.676,0.617,-4.626,0.0414,0.636,0.718,124.978,0.000816,0,1,4
15,0.706,0.544,-7.275,0.0306,0.0,0.477,115.935,0.0273,2,1,4
16,0.773,0.612,-5.73,0.232,0.0,0.381,149.999,0.0398,8,1,4
17,0.644,0.702,-5.699,0.219,0.0,0.831,96.095,0.00463,8,0,4
18,0.523,0.403,-9.103,0.0401,0.0,0.322,147.78,0.0251,2,0,3
19,0.562,0.897,-4.79,0.195,0.000229,0.283,95.02,0.000251,9,1,4
20,0.77,0.896,-3.971,0.039,0.0,0.964,126.999,0.0539,0,1,4
21,0.58,0.916,-4.358,0.0387,0.0259,0.683,118.004,0.000297,3,0,4
22,0.638,0.906,-4.824,0.0504,6.88e-05,0.767,107.991,0.0662,2,1,4
23,0.687,0.677,-4.172,0.0508,0.000137,0.545,75.052,0.000643,2,1,4
24,0.615,0.534,-6.719,0.0386,1.76e-05,0.193,135.917,0.106,9,0,4
25,0.678,0.533,-10.485,0.186,0.219,0.323,150.455,0.462,4,1,4
26,0.685,0.76,-7.813,0.0512,0.151,0.781,160.035,0.0199,2,1,4
27,0.856,0.57,-4.486,0.286,0.0,0.155,154.967,0.00637,9,1,4
28,0.705,0.699,-2.412,0.226,0.0,0.333,169.874,0.00544,2,1,4
29,0.524,0.939,-3.994,0.113,0.0,0.661,150.184,0.00022,9,1,4
30,0.457,0.834,-4.674,0.0817,0.00125,0.201,140.032,0.00252,5,0,4
31,0.779,0.911,-6.341,0.458,0.0,0.269,160.004,0.011,1,0,4
32,0.314,0.563,-8.833,0.0527,6.24e-05,0.138,102.478,0.00523,7,1,4
33,0.563,0.664,-5.044,0.154,0.0,0.688,166.928,0.335,9,1,4
34,0.581,0.877,-4.938,0.114,0.0,0.353,77.006,0.0151,8,1,4
35,0.669,0.682,-7.974,0.293,0.0116,0.345,148.153,0.00165,1,1,4
36,0.332,0.225,-8.697,0.0348,0.00349,0.297,81.055,0.767,0,1,3
37,0.543,0.808,-5.484,0.0407,0.00336,0.472,95.19,7.19e-05,10,1,4
38,0.598,0.476,-3.673,0.0333,0.0,0.0545,150.078,0.00584,0,1,4
39,0.748,0.99,-2.39,0.151,0.132,0.386,126.015,0.303,1,1,4
40,0.696,0.793,-7.092,0.158,0.0,0.689,119.96,0.0221,8,0,4
41,0.283,0.935,-4.56,0.142,0.0057,0.419,111.884,1.59e-05,6,1,3
42,0.326,0.866,-4.541,0.101,7.37e-06,0.172,178.181,0.0044,9,0,4
43,0.469,0.742,-5.678,0.0343,0.0,0.0375,145.031,0.00935,0,1,4
44,0.511,0.532,-5.745,0.0578,0.0,0.35,138.005,0.177,5,1,4
45,0.467,0.935,-3.103,0.125,0.0,0.294,105.101,0.000231,11,1,3
46,0.564,0.849,-2.619,0.248,0.0,0.634,157.905,0.00255,4,0,4
47,0.462,0.943,-5.276,0.0739,0.000256,0.339,101.834,0.192,1,0,4
48,0.712,0.683,-6.342,0.271,0.0,0.534,159.998,0.19,1,0,4
49,0.616,0.811,-4.964,0.057,0.0,0.5,116.003,0.00168,1,0,4
0,0.731,0.811,-3.225,0.0712,0,0.426,147.045,0.0204,1,1,4
1,0.874,0.568,-5.896,0.224,1.38e-05,0.46,139.995,0.0698,11,0,4
2,0.82,0.47,-7.181,0.0458,0,0.313,132.003,0.00435,8,1,4
3,0.587,0.711,-6.33,0.42,0,0.381,98.008,0.171,1,1,4
4,0.763,0.726,-6.405,0.282,0,0.349,139.059,0.259,1,1,4
5,0.65,0.801,-2.178,0.0694,0.000231,0.356,124.123,0.117,8,1,4
6,0.594,0.676,-5.808,0.344,0,0.472,143.477,0.135,2,1,4
7,0.775,0.823,-4.941,0.0635,0,0.65,120.059,0.0881,5,0,4
8,0.789,0.858,-5.542,0.311,0,0.775,140.022,0.127,1,1,4
9,0.727,0.62,-6.443,0.306,0,0.555,105.003,0.398,8,1,4
10,0.772,0.413,-8.193,0.089,0,0.211,131.965,0.0361,0,0,4
11,0.794,0.51,-7.314,0.42,1.81e-06,0.18,167.879,0.0505,9,1,4
12,0.711,0.663,-5.805,0.142,0,0.214,121.112,0.03,11,1,4
13,0.365,0.751,-5.429,0.304,0,0.604,79.119,0.000707,2,1,4
14,0.684,0.529,-9.092,0.238,0,0.747,78.937,0.12,8,1,4
15,0.81,0.662,-8.152,0.203,0.00103,0.745,133.936,0.436,1,1,4
16,0.859,0.77,-5.358,0.345,0,0.348,155.025,0.0056,8,0,4
17,0.487,0.383,-13.113,0.0797,0.00165,0.111,147.88,0.617,8,0,4
18,0.8,0.591,-8.808,0.271,0,0.747,117.003,0.111,6,1,4
19,0.415,0.679,-8.681,0.37,0.000106,0.26,93.069,0.17,1,1,3
20,0.494,0.664,-5.65,0.231,0,0.131,127.55,0.0195,11,1,4
21,0.652,0.692,-7.473,0.328,0,0.438,139.935,0.0105,5,0,4
22,0.788,0.617,-4.516,0.0651,0,0.128,122.065,0.0448,2,1,4
23,0.711,0.635,-10.887,0.0586,5.65e-05,0.2,134.927,0.00307,6,1,4
24,0.546,0.64,-5.582,0.37,0,0.63,137.728,0.0438,8,1,4
25,0.688,0.647,-7.258,0.19,1.65e-05,0.195,88.834,0.00815,2,1,4
26,0.862,0.785,-3.571,0.233,0,0.373,123.011,0.162,8,1,4
27,0.828,0.666,-5.012,0.106,0,0.252,125.999,0.0211,2,1,4
28,0.822,0.861,-8.846,0.0832,7e-05,0.548,123.964,0.25,11,1,4
29,0.427,0.877,-3.806,0.0347,8.51e-06,0.309,87.499,0.00103,1,0,4
30,0.877,0.601,-6.271,0.067,0,0.357,130.992,0.155,10,0,4
31,0.773,0.534,-8.935,0.136,0,0.427,139.983,0.0964,11,0,4
32,0.812,0.628,-6.164,0.0682,0,0.485,123.004,0.0634,10,0,4
33,0.7,0.792,-5.28,0.0459,7.64e-05,0.422,139.978,0.00128,6,1,4
34,0.841,0.733,-5.077,0.142,0,0.284,130.009,0.0246,1,1,4
35,0.733,0.674,-5.161,0.126,0,0.443,148.023,0.0254,0,0,4
36,0.647,0.559,-6.821,0.0369,0,0.071,75.981,0.00944,5,1,4
37,0.493,0.826,-3.106,0.311,3.42e-06,0.75,112.865,0.095,9,1,4
38,0.529,0.584,-6.147,0.291,0,0.153,139.774,0.0198,1,1,4
39,0.479,0.593,-7.739,0.0613,0,0.0373,125.035,0.225,7,1,4
40,0.674,0.752,-4.073,0.333,0,0.236,145.076,0.552,11,1,4
41,0.456,0.793,-5.569,0.65,0,0.707,205.348,0.175,5,1,4
42,0.868,0.623,-8.595,0.101,0,0.498,105.446,0.0249,2,1,4
43,0.781,0.764,-3.252,0.164,0,0.352,146.03,0.0175,2,1,4
44,0.631,0.774,-2.459,0.3,0,0.44,79.745,0.468,11,1,4
45,0.688,0.691,-7.202,0.0435,0.00115,0.366,145.937,0.0195,8,1,4
46,0.771,0.817,-6.791,0.214,0,0.554,123.952,0.306,2,1,4
47,0.8,0.826,-3.198,0.107,4.76e-06,0.241,148.021,0.0706,1,1,4
48,0.862,0.65,-6.978,0.355,0,0.658,131.194,0.0207,10,0,4
49,0.903,0.535,-6.238,0.286,0,0.157,130.117,0.0298,8,1,4
50,0.808,0.617,-9.32,0.442,0,0.632,149.962,0.113,10,0,4
51,0.772,0.634,-6.101,0.212,0,0.671,160.052,0.135,10,0,4
52,0.853,0.693,-6.87,0.275,0,0.662,95.967,0.0239,1,1,4
53,0.742,0.844,-4.622,0.0479,0,0.416,131.986,0.000634,2,1,4
54,0.76,0.595,-6.366,0.0391,0,0.361,131.497,0.00544,1,1,4
55,0.71,0.826,-5.197,0.295,0,0.735,127.947,0.0808,2,1,4
56,0.37,0.87,-2.09,0.271,0,0.331,79.092,0.0415,5,1,4
57,0.797,0.844,-5.482,0.275,0,0.52,170.142,0.0651,11,1,4
58,0.819,0.626,-4.574,0.202,0.101,0.415,143.01,0.00748,10,0,4
59,0.747,0.571,-7.916,0.478,0,0.553,172.104,0.38,11,1,4
60,0.562,0.735,-6.932,0.307,0,0.547,159.119,0.0256,9,0,4
61,0.5,0.767,-4.105,0.403,9.79e-05,0.58,159.477,0.162,1,1,4
62,0.898,0.377,-5.491,0.0912,2.24e-06,0.272,113.881,0.0134,9,1,4
63,0.716,0.541,-7.909,0.149,0,0.387,139.978,0.0021,1,1,4
64,0.668,0.628,-5.327,0.205,0,0.621,131.88,0.00822,6,0,4
65,0.548,0.847,-3.237,0.186,0,0.1,171.447,0.0622,1,1,4
66,0.678,0.77,-4.399,0.222,0,0.412,90.0,0.00583,9,0,4
67,0.801,0.908,-6.554,0.221,0.000655,0.805,87.279,0.00253,2,1,4
68,0.662,0.686,-8.302,0.332,5.59e-06,0.678,143.971,0.251,7,1,4
69,0.506,0.745,-6.044,0.331,0,0.311,161.808,0.0594,8,1,4
70,0.746,0.687,-7.475,0.382,0,0.283,143.931,0.155,1,1,4
71,0.81,0.458,-10.937,0.376,0,0.203,144.14,0.0248,2,1,4
72,0.692,0.774,-2.48,0.0876,0,0.349,134.952,0.0623,6,0,4
73,0.545,0.826,-4.651,0.0491,0,0.487,140.02,0.138,1,1,4
74,0.729,0.707,-4.178,0.149,0,0.523,136.037,0.0722,10,0,4
75,0.627,0.725,-8.171,0.414,0,0.569,112.564,0.206,2,1,4
76,0.832,0.7,-6.005,0.0491,0,0.586,145.937,0.12,0,0,4
77,0.671,0.857,-5.435,0.292,0,0.597,118.574,0.266,7,1,4
78,0.79,0.67,-5.527,0.105,2.32e-06,0.408,139.956,0.377,1,1,4
79,0.451,0.876,-5.205,0.414,0,0.227,87.306,0.261,10,0,5
80,0.729,0.799,-6.136,0.111,4.18e-06,0.439,144.025,0.0573,11,0,4
81,0.876,0.733,-4.478,0.333,0,0.962,154.904,0.0208,10,0,4
82,0.537,0.948,-3.063,0.355,0,0.792,186.151,0.151,8,1,4
83,0.487,0.729,-6.815,0.271,4.07e-06,0.217,91.048,0.0538,2,1,4
84,0.611,0.66,-5.883,0.0839,0,0.583,71.544,0.198,11,1,4
85,0.734,0.703,-1.69,0.132,0,0.152,121.08,0.0344,1,0,4
86,0.705,0.702,-4.783,0.108,0,0.771,140.059,0.138,0,0,4
87,0.504,0.658,-7.57,0.253,0,0.524,160.22,0.00412,0,0,4
88,0.849,0.755,-7.4,0.363,0,0.393,144.188,0.346,1,0,4
89,0.766,0.809,-6.123,0.279,0,0.325,130.127,0.0011,1,1,4
90,0.759,0.538,-8.256,0.384,0,0.831,146.933,0.151,8,0,4
91,0.592,0.701,-4.014,0.0858,0,0.282,129.501,0.0451,10,0,4
92,0.929,0.7,-5.595,0.0906,0,0.802,120.009,0.144,0,0,4
93,0.485,0.72,-5.991,0.127,0,0.0471,207.982,0.0123,6,1,4
94,0.727,0.599,-6.941,0.327,0,0.386,167.909,0.317,1,1,3
95,0.851,0.625,-5.417,0.303,0,0.668,99.061,0.195,10,0,4
96,0.869,0.712,-6.136,0.103,0,0.435,120.0,0.0715,9,1,4
97,0.804,0.946,-5.949,0.352,0,0.745,150.141,0.002,7,1,4
98,0.477,0.727,-4.053,0.286,0,0.227,150.062,0.000866,2,1,4
99,0.559,0.716,-3.964,0.39,0,0.504,176.618,0.737,11,0,4
100,0.619,0.589,-6.531,0.124,0.000392,0.158,143.896,0.43,1,1,4
101,0.917,0.682,-4.875,0.212,0,0.647,139.011,0.263,1,1,4
102,0.906,0.444,-8.692,0.384,6.44e-05,0.678,140.063,0.136,4,0,4
103,0.835,0.413,-9.81,0.396,0.00133,0.111,149.004,0.373,1,1,4
104,0.771,0.536,-8.534,0.323,1.05e-06,0.343,94.995,0.553,11,1,4
105,0.877,0.391,-8.196,0.063,0.000502,0.122,131.018,0.0317,1,1,4
106,0.476,0.926,-6.623,0.48,0,0.52,86.252,0.353,2,1,4
107,0.548,0.76,-5.683,0.221,1.33e-06,0.257,82.913,0.108,11,0,4
108,0.808,0.559,-9.007,0.0977,0,0.306,111.043,0.409,6,1,4
109,0.685,0.57,-10.555,0.221,2.39e-05,0.319,160.037,0.0104,10,1,4
110,0.793,0.413,-8.892,0.173,0,0.447,111.004,0.515,11,0,4
0,0.563,0.664,-5.044,0.154,0,0.688,166.928,0.335,9,1,4
1,0.658,0.877,-2.098,0.0323,0,0.821,105.586,0.173,7,1,4
2,0.519,0.749,-3.318,0.0405,0,0.29,147.905,0.271,6,0,4
3,0.672,0.526,-6.446,0.0599,1.37e-06,0.28,123.999,0.0311,4,1,4
4,0.476,0.777,-3.771,0.0289,0,0.472,167.964,0.0103,4,0,4
5,0.66,0.817,-6.269,0.0521,0,0.714,135.942,0.162,11,0,4
6,0.518,0.861,-4.002,0.0673,1.42e-06,0.457,141.986,0.0277,11,1,4
7,0.578,0.926,-3.689,0.0548,0.0127,0.877,149.976,0.00472,6,0,4
8,0.567,0.789,-5.986,0.115,0,0.438,163.96,0.0156,5,1,4
9,0.402,0.732,-4.665,0.0484,0,0.472,161.032,0.0033,5,1,4
10,0.547,0.613,-7.577,0.0264,0,0.528,79.011,0.431,7,0,4
11,0.777,0.658,-5.191,0.054,0,0.633,110.048,0.0767,0,1,4
12,0.667,0.922,-4.645,0.0353,0,0.761,130.01,0.000354,5,1,4
