,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
0,0.808,0.538,-10.211,0.0608,0.0743,0.416,108.026,0.108,0,0,4
1,0.451,0.422,-8.477,0.0433,0.162,0.119,119.998,0.512,3,0,4
2,0.725,0.808,-7.717,0.0883,0.274,0.146,116.993,0.0894,4,1,4
3,0.563,0.537,-8.127,0.145,0.000193,0.0907,115.986,0.764,6,1,4
4,0.771,0.729,-7.554,0.0372,0.00452,0.689,124.047,0.313,4,1,4
5,0.292,0.338,-14.421,0.0424,0.546,0.035,119.924,0.55,6,0,4
6,0.706,0.662,-8.288,0.0338,0.00544,0.0536,110.025,0.192,0,1,4
7,0.686,0.472,-8.638,0.0897,0.0908,0.0832,100.106,0.416,0,0,3
8,0.702,0.52,-8.618,0.0546,0.153,0.0489,115.07,0.103,7,1,4
9,0.593,0.435,-11.485,0.0513,0.0118,0.0827,124.093,0.608,4,0,4
10,0.788,0.566,-8.884,0.0486,0.803,0.343,120.008,0.346,1,1,4
11,0.588,0.473,-13.409,0.0613,0.0616,0.183,100.032,0.127,7,0,4
12,0.715,0.616,-10.323,0.0465,0.79,0.0312,120.031,0.0798,0,1,4
13,0.637,0.741,-6.193,0.0367,0.000158,0.496,127.932,0.0147,2,1,4
14,0.692,0.539,-13.854,0.0445,0.664,0.0725,121.985,0.0885,5,1,4
15,0.702,0.669,-8.011,0.0392,0.697,0.353,134.973,0.0148,1,0,4
16,0.494,0.583,-8.521,0.0435,0.302,0.176,196.018,0.167,10,0,4
17,0.601,0.499,-11.131,0.0343,0.712,0.531,96.981,0.815,6,1,4
18,0.658,0.511,-9.815,0.255,0.0,0.327,109.988,0.579,7,0,4
19,0.744,0.691,-7.789,0.0366,0.000832,0.458,124.029,0.285,9,1,4
20,0.474,0.726,-7.457,0.059,0.0452,0.214,129.941,0.467,10,1,4
21,0.71,0.575,-10.8,0.0389,0.401,0.0765,120.051,0.337,8,1,4
22,0.643,0.824,-8.781,0.0508,0.0317,0.0752,120.013,0.225,7,0,4
23,0.861,0.602,-7.314,0.0617,0.0644,0.684,114.978,0.369,2,0,4
24,0.742,0.461,-12.369,0.292,0.0173,0.118,120.034,0.303,0,1,4
