,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
0,0.552,0.702,-5.707,0.157,2.06e-05,0.564,169.994,0.117,9,1,4,1BxfuPKGuaTgP7aM0Bbdwr
1,0.514,0.73,-5.934,0.0598,9.54e-05,0.334,171.005,0.00146,1,1,4,0VjIjW4GlUZAMYd2vXMi3b
2,0.671,0.845,-4.93,0.048,0.0,0.775,110.056,0.0207,11,0,4,1vYXt7VSjH9JIM5oRRo7vA
3,0.561,0.965,-3.673,0.0343,7.07e-06,0.304,128.04,0.00383,7,0,4,4uUG5RXrOk84mYEfFvj3cK
4,0.704,0.797,-5.927,0.0475,0.000745,0.825,139.994,0.0826,0,1,4,4h9wh7iOZ0GGn8QVp4RAOB
5,0.671,0.876,-5.681,0.0352,0.188,0.964,129.998,0.12,7,0,4,23RoR84KodL5HWvUTneQ1w
6,0.838,0.569,-6.324,0.0621,0.000136,0.551,136.965,0.152,5,0,4,0HD8mbiPjp3o94X3EaZp0o
7,0.548,0.816,-4.209,0.0465,0.0,0.557,95.39,0.122,0,1,4,6UelLqGlWMcVH1E5c4H7lY
8,0.498,0.897,-4.907,0.045,0.0,0.373,169.902,0.00136,2,1,4,5w40ZYhbBMAlHYNDaVJIUu
9,0.788,0.859,-2.724,0.0856,0.0,0.822,141.02,0.281,2,1,4,50nfwKoDiSYg8zOCREWAm5
10,0.602,0.91,-3.404,0.0308,0.000174,0.228,127.944,0.00126,7,1,4,3BKD1PwArikchz2Zrlp1qi
11,0.77,0.58,-8.393,0.247,0.000127,0.753,144.072,0.519,0,1,4,741UUVE2kuITl0c6zuqqbO
12,0.743,0.837,-7.634,0.0633,2.86e-05,0.378,126.023,0.00288,5,0,4,4ZnkygoWLzcGbQYCm3lkae
13,0.856,0.609,-7.223,0.0824,8.15e-05,0.928,114.988,0.00801,0,1,4,32OlwWuMpZ6b0aN2RZOeMS
14,0.61,0.571,-5.649,0.0782,0.0,0.747,105.01,0.00863,2,1,4,6iF4RgIjDvDqyW13PezSj3
15,0.838,0.525,-3.562,0.0665,1.92e-06,0.884,144.981,0.345,10,1,4,0QHEIqNKsMoOY5urbzN48u
16,0.762,0.766,-3.955,0.0343,6.98e-05,0.442,130.001,0.00776,7,1,4,5fwSHlTEWpluwOM0Sxnh5k
17,0.697,0.683,-2.881,0.117,0.0,0.603,96.133,0.0372,1,0,4,2BgEsaKNfHUdlh97KmvFyo
18,0.771,0.671,-5.617,0.0553,0.0,0.714,85.026,0.00929,2,1,4,6RRNNciQGZEXnqk8SQ9yv5
19,0.677,0.696,-6.181,0.119,0.0,0.464,90.03,0.321,0,1,4,4iJyoBOLtHqaGxP12qzhQI
20,0.647,0.822,-4.662,0.183,0.0,0.962,160.019,0.219,5,0,4,60nZcImufyMA1MKQY3dcCH
21,0.746,0.765,-4.41,0.0993,0.0,0.737,114.044,0.0112,6,0,4,5QDLhrAOJJdNAmCTJ8xMyW
22,0.637,0.69,-4.057,0.0405,0.0,0.457,129.857,0.00786,1,0,4,7a53HqqArd4b9NF4XAmlbI
23,0.717,0.455,-8.303,0.0276,0.0,0.389,127.812,0.0846,5,1,4,2ixsaeFioXJmMgkkbd4uj1
24,0.898,0.732,-3.982,0.0427,1.29e-05,0.96,115.955,0.621,7,1,4,6maTPqynTmrkWIralgGaoP
25,0.737,0.846,-4.51,0.22,0.0,0.546,87.981,0.00614,1,0,4,0e8nrvls4Qqv5Rfa2UhqmO
26,0.461,0.834,-4.868,0.0989,1.14e-05,0.471,135.007,0.0232,2,1,4,6PCUP3dWmTjcTtXY02oFdT
27,0.673,0.902,-2.392,0.0346,0.000262,0.538,100.012,0.0591,2,1,4,5Hroj5K7vLpIG4FNCRIjbP
28,0.842,0.734,-5.065,0.0588,0.0,0.952,137.958,0.0427,1,0,4,22vgEDb5hykfaTwLuskFGD
29,0.824,0.862,-3.424,0.126,0.000132,0.801,122.98,0.0076,2,1,4,4cG7HUWYHBV6R6tHn1gxrl
30,0.588,0.701,-6.39,0.0402,0.0,0.443,104.988,0.00813,9,1,4,3FeVmId7tL5YN8B7R3imoM
31,0.652,0.879,-6.405,0.0784,0.0896,0.789,173.925,0.00284,0,1,4,5VxmI3IdgAxWVvUnJoLuY2
32,0.758,0.913,-2.926,0.113,6.92e-05,0.658,128.04,0.00364,6,0,4,0b18g3G5spr4ZCkz7Y6Q0Q
33,0.61,0.83,-4.105,0.0571,0.0,0.728,182.162,0.033,0,1,4,2Rk4JlNc2TPmZe2af99d45
34,0.593,0.503,-6.725,0.22,0.0,0.71,178.781,0.293,8,0,4,1SC5rEoYDGUK4NfG82494W
35,0.912,0.774,-4.673,0.0455,0.0127,0.632,119.966,0.121,0,0,4,10xV5l9nhLvFpR8mqzs0bL
36,0.697,0.875,-4.621,0.034,0.0,0.774,140.069,0.137,5,1,4,5r43qanLhUCdBj8HN3fa6B
37,0.759,0.54,-6.039,0.0287,0.0,0.75,116.947,0.037,9,0,4,0TK2YIli7K1leLovkQiNik
38,0.662,0.821,-4.103,0.13,0.0,0.47,124.077,0.202,2,0,4,6pb5DtlAeG95dNQLHiArRU
39,0.734,0.874,-3.158,0.0662,1.14e-05,0.905,122.953,0.168,8,1,4,6cx06DFPPHchuUAcTxznu9
40,0.675,0.986,-4.606,0.0974,4.96e-06,0.57,126.004,0.0868,9,0,4,00E0Z2jrF7reoHps4zcbWQ
41,0.699,0.529,-7.548,0.0487,3.59e-05,0.121,119.987,0.0317,2,1,4,3DmW6y7wTEYHJZlLo1r6XJ
42,0.954,0.516,-5.817,0.16,7.54e-06,0.624,105.001,0.03,6,1,4,6UN73IYd0hZxLi8wFPMQij
43,0.735,0.812,-4.417,0.151,0.0,0.584,109.829,0.528,2,1,4,2z9iuAxKv4TTeCrPAxxKg9
