,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
0,0.943,0.558,-4.911,0.0568,2.19e-06,0.606,104.983,0.0026,2,1,4
1,0.47,0.64,-7.779,0.32,0.0,0.248,163.92,0.0277,2,1,4
2,0.836,0.409,-14.189,0.188,4.92e-06,0.233,101.931,0.258,9,1,4
3,0.96,0.749,-3.881,0.251,0.0,0.703,124.563,0.0256,11,0,4
4,0.928,0.458,-6.751,0.187,0.000446,0.242,144.995,0.0175,11,1,4
5,0.731,0.667,-7.928,0.0815,0.0,0.485,123.042,0.134,7,0,4
6,0.818,0.435,-8.167,0.322,0.0,0.282,130.046,0.0755,4,0,4
7,0.862,0.621,-7.423,0.283,0.0,0.239,124.081,0.379,2,1,4
8,0.847,0.622,-6.747,0.0903,0.0,0.22,130.001,0.119,1,0,4
9,0.736,0.645,-5.195,0.0807,0.00086,0.201,132.024,0.0724,1,1,3
10,0.746,0.549,-7.459,0.348,1.02e-06,0.491,164.928,0.00412,9,1,4
11,0.569,0.882,-2.777,0.06,0.0,0.201,148.038,0.0316,3,0,4
12,0.971,0.671,-5.26,0.154,0.0,0.754,119.965,0.416,10,0,4
13,0.893,0.488,-7.532,0.159,0.0,0.152,132.975,0.0793,1,1,4
14,0.736,0.769,-5.546,0.258,0.0,0.388,137.947,0.027,11,0,4
15,0.645,0.729,-4.56,0.0528,0.0,0.142,146.01,0.0377,2,1,4
16,0.93,0.682,-8.799,0.331,0.0,0.962,126.003,0.028,9,1,4
17,0.869,0.557,-7.112,0.384,0.0,0.629,124.927,0.577,11,0,4
18,0.773,0.635,-5.06,0.0452,0.0,0.476,121.879,0.0585,10,1,4
19,0.809,0.722,-6.631,0.285,4.27e-06,0.454,140.053,0.0201,1,1,4
20,0.909,0.564,-7.483,0.31,0.0,0.548,146.94,0.0107,2,1,4
21,0.808,0.789,-5.88,0.236,0.0,0.465,136.01,0.0517,7,0,4
22,0.94,0.652,-5.806,0.303,0.0,0.712,95.976,0.00226,5,1,4
23,0.908,0.561,-7.683,0.301,0.0,0.559,146.018,0.00933,4,0,4
24,0.86,0.74,-7.687,0.327,0.0,0.83,150.068,0.342,6,0,4
25,0.886,0.558,-7.806,0.346,0.0,0.614,75.499,0.00789,1,1,4
26,0.926,0.577,-6.805,0.367,0.0,0.304,134.383,0.0401,10,0,4
27,0.769,0.623,-4.663,0.183,0.0,0.705,145.93,0.0411,2,1,4
28,0.663,0.67,-8.399,0.271,8.92e-05,0.138,136.952,0.0464,8,1,4
29,0.876,0.528,-9.223,0.233,0.0,0.346,123.007,0.0619,9,1,4
30,0.571,0.549,-7.38,0.404,0.0,0.447,119.497,0.18,1,0,4
31,0.807,0.593,-7.304,0.104,0.00083,0.323,110.001,0.316,7,1,4
32,0.879,0.547,-5.632,0.0739,0.0,0.193,148.022,0.0136,1,1,4
33,0.806,0.572,-4.367,0.363,0.0,0.223,164.106,0.0667,2,1,4
34,0.823,0.728,-4.336,0.15,0.0,0.455,85.051,0.194,1,1,4
35,0.893,0.513,-7.958,0.364,0.0,0.758,126.061,0.531,4,0,4
36,0.957,0.769,-6.044,0.155,1.26e-06,0.845,119.995,0.141,0,1,4
37,0.811,0.879,-3.869,0.296,0.0,0.586,96.045,0.0507,1,1,4
38,0.792,0.675,-6.972,0.197,0.000118,0.393,101.612,0.0925,11,0,4
39,0.8,0.729,-4.492,0.295,0.0,0.526,154.084,0.0577,5,1,4
40,0.786,0.758,-4.315,0.0627,3.23e-05,0.201,117.977,0.0387,1,1,4
41,0.64,0.609,-7.714,0.304,2.47e-06,0.393,131.889,0.492,1,0,4
42,0.566,0.564,-7.88,0.277,0.0,0.0667,139.92,0.0149,10,0,4
43,0.799,0.751,-3.848,0.313,0.0,0.72,131.073,0.0543,8,1,4
44,0.715,0.567,-4.481,0.0865,0.0,0.332,160.098,0.06,1,0,4
45,0.677,0.658,-6.223,0.293,0.0,0.164,189.976,0.0538,2,1,4
46,0.939,0.521,-7.468,0.379,0.0,0.515,124.995,0.195,1,1,4
47,0.849,0.614,-7.323,0.317,0.0,0.472,111.363,0.0282,1,1,5
48,0.815,0.733,-3.811,0.214,0.0,0.557,145.01,0.00484,0,1,4
49,0.868,0.538,-8.603,0.174,3.34e-06,0.732,99.968,0.269,5,1,4
50,0.83,0.831,-3.743,0.213,0.0,0.96,169.998,0.183,11,1,4
51,0.797,0.455,-10.97,0.109,0.0,0.0335,129.95,0.218,9,1,4
52,0.613,0.685,-6.795,0.292,0.0,0.289,163.994,0.00133,4,1,4
53,0.789,0.763,-6.169,0.199,2.22e-05,0.272,140.107,0.123,1,1,4
54,0.739,0.536,-10.843,0.308,0.0,0.64,82.549,0.231,1,1,4
55,0.558,0.657,-4.853,0.232,0.0,0.5,91.306,0.132,1,1,4
56,0.843,0.669,-4.105,0.0639,1.28e-05,0.435,136.979,0.0846,1,0,4
57,0.53,0.677,-7.099,0.473,0.0,0.612,78.128,0.0525,1,0,4
58,0.667,0.758,-4.935,0.0489,0.0,0.377,144.98,0.000331,0,1,4
59,0.707,0.645,-5.395,0.321,2.38e-06,0.524,150.014,0.00654,6,0,4
60,0.752,0.643,-5.561,0.458,0.0,0.805,175.988,0.142,7,1,4
61,0.831,0.439,-7.892,0.323,0.00153,0.353,105.104,0.199,5,0,4
62,0.916,0.583,-8.067,0.241,0.0,0.661,141.095,0.186,1,1,4
63,0.968,0.515,-8.085,0.0945,9.18e-06,0.424,117.01,0.0487,0,1,4
64,0.898,0.676,-5.196,0.187,0.0,0.742,147.991,0.14,9,1,4
65,0.888,0.729,-6.615,0.389,0.0,0.506,128.007,0.0319,1,1,4
66,0.64,0.599,-7.655,0.309,0.0,0.448,140.199,0.0616,5,0,4
67,0.87,0.746,-6.098,0.0711,0.0134,0.702,140.943,0.188,11,0,4
68,0.726,0.738,-4.788,0.355,0.0,0.896,121.953,0.0791,0,1,4
69,0.821,0.341,-5.915,0.281,0.00746,0.344,139.885,8.73e-05,8,1,4
70,0.779,0.541,-5.014,0.236,1.04e-06,0.324,160.096,0.0361,1,1,4
71,0.837,0.394,-9.03,0.0424,1.26e-06,0.616,100.047,0.0738,7,1,4
72,0.818,0.51,-7.05,0.408,0.0,0.416,129.057,0.209,2,0,4
73,0.456,0.571,-4.431,0.185,0.0,0.121,159.929,0.0354,1,1,4
74,0.637,0.634,-8.126,0.426,0.0,0.49,178.037,0.174,2,1,4
75,0.904,0.461,-4.349,0.164,0.0,0.0794,148.045,0.0118,8,1,4
76,0.486,0.545,-7.924,0.0336,0.00474,0.0385,150.187,0.0652,11,1,4
77,0.773,0.607,-6.768,0.382,0.0,0.279,155.026,0.0354,10,0,4
78,0.795,0.55,-5.704,0.0882,0.0,0.152,119.975,0.123,7,0,4
79,0.822,0.498,-8.47,0.245,0.0,0.207,94.017,0.0188,2,1,4
80,0.786,0.719,-7.487,0.296,0.0,0.802,130.081,0.252,0,0,4
81,0.686,0.897,-7.18,0.0386,0.103,0.355,129.975,0.0103,11,0,4
82,0.835,0.552,-8.039,0.191,1.24e-05,0.18,105.007,0.00594,11,1,4
83,0.849,0.581,-5.464,0.261,0.0,0.274,142.015,0.0178,6,0,4
84,0.526,0.606,-5.3,0.259,2.36e-06,0.492,116.622,0.152,5,0,4
85,0.786,0.698,-4.697,0.0976,0.0,0.168,154.954,0.0175,1,1,4
86,0.938,0.606,-6.396,0.419,0.0,0.706,121.108,0.117,6,0,4
87,0.823,0.388,-10.867,0.491,0.0,0.507,154.569,0.0187,1,1,4
88,0.784,0.616,-7.159,0.0927,0.00592,0.291,137.019,0.0042,0,1,4
89,0.595,0.829,-3.95,0.226,0.000101,0.501,113.319,0.00594,2,1,5
90,0.799,0.459,-8.715,0.202,4.46e-06,0.349,142.962,0.269,10,0,4
91,0.768,0.74,-6.595,0.336,6.81e-06,0.532,141.059,0.696,0,1,4
92,0.954,0.516,-5.817,0.16,7.54e-06,0.624,105.001,0.03,6,1,4
93,0.898,0.64,-8.796,0.255,0.0,0.68,149.988,0.0212,5,0,4
94,0.795,0.814,-3.945,0.4,0.0,0.68,160.039,0.0736,0,1,4
95,0.749,0.548,-6.223,0.352,0.0,0.581,153.855,0.194,5,0,4
96,0.798,0.471,-8.824,0.125,0.0,0.11,135.102,0.00189,8,1,4
97,0.817,0.512,-6.943,0.0984,0.0,0.17,130.04,0.037,8,1,4
98,0.66,0.373,-10.234,0.595,0.0,0.35,167.912,0.149,11,1,4
99,0.83,0.644,-5.431,0.407,0.0,0.227,155.103,0.0298,10,0,4
0,0.928,0.458,-6.751,0.187,0.000446,0.242,144.995,0.0175,11,1,4
1,0.816,0.649,-5.12,0.242,0.0,0.686,138.056,0.709,0,0,4
2,0.75,0.674,-6.128,0.097,8.91e-05,0.392,123.026,0.228,8,0,4
3,0.781,0.567,-7.857,0.0969,0.0,0.0743,121.964,0.0504,1,1,4
4,0.789,0.763,-6.169,0.199,2.22e-05,0.272,140.107,0.123,1,1,4
5,0.681,0.686,-5.259,0.31,0.0,0.568,151.137,0.077,11,1,4
6,0.736,0.769,-5.546,0.258,0.0,0.388,137.947,0.027,11,0,4
7,0.92,0.759,-3.349,0.108,7.38e-06,0.598,137.961,0.274,2,1,4
8,0.969,0.707,-5.509,0.258,0.0,0.421,124.991,0.00822,1,1,4
9,0.726,0.738,-4.788,0.355,0.0,0.896,121.953,0.0791,0,1,4
10,0.957,0.769,-6.044,0.155,1.26e-06,0.845,119.995,0.141,0,1,4
11,0.673,0.722,-3.495,0.0755,0.0,0.519,117.187,0.0856,3,0,4
12,0.849,0.614,-7.323,0.317,0.0,0.472,111.363,0.0282,1,1,5
13,0.868,0.538,-8.603,0.174,3.34e-06,0.732,99.968,0.269,5,1,4
14,0.811,0.551,-4.242,0.098,2.13e-05,0.506,99.972,0.00972,1,1,4
15,0.823,0.728,-4.336,0.15,0.0,0.455,85.051,0.194,1,1,4
16,0.887,0.645,-4.065,0.208,0.00127,0.544,84.955,0.0184,4,0,4
17,0.494,0.849,-6.438,0.343,0.00152,0.512,181.428,0.0748,0,0,5
18,0.779,0.541,-5.014,0.236,1.04e-06,0.324,160.096,0.0361,1,1,4
19,0.773,0.607,-6.768,0.382,0.0,0.279,155.026,0.0354,10,0,4
20,0.823,0.388,-10.867,0.491,0.0,0.507,154.569,0.0187,1,1,4
21,0.481,0.539,-7.865,0.108,0.00539,0.621,153.277,0.551,4,0,4
22,0.898,0.676,-5.196,0.187,0.0,0.742,147.991,0.14,9,1,4
23,0.571,0.552,-7.231,0.13,0.0,0.393,143.024,0.14,0,1,4
24,0.87,0.746,-6.098,0.0711,0.0134,0.702,140.943,0.188,11,0,4
25,0.878,0.967,-4.481,0.274,0.0,0.735,139.921,0.191,7,1,4
26,0.943,0.625,-7.85,0.0699,0.0,0.725,134.965,0.25,9,1,4
27,0.941,0.656,-6.765,0.103,0.0,0.434,129.997,0.136,1,0,4
28,0.741,0.785,-5.211,0.0718,1.47e-06,0.204,126.957,0.0773,11,1,4
29,0.784,0.7,-5.289,0.0396,1.76e-05,0.204,126.015,0.0112,1,1,4
30,0.971,0.772,-4.593,0.232,0.0,0.855,118.013,0.0153,11,0,4
31,0.921,0.718,-4.486,0.106,0.0,0.785,114.02,0.116,9,0,4
32,0.938,0.467,-6.318,0.0829,0.0168,0.54,113.982,0.0123,7,1,4
33,0.952,0.724,-4.894,0.122,0.0,0.494,104.008,0.0414,1,1,4
34,0.798,0.685,-5.439,0.1,0.0,0.742,87.012,0.0864,1,1,4
35,0.637,0.634,-8.126,0.426,0.0,0.49,178.037,0.174,2,1,4
36,0.74,0.758,-5.851,0.0921,1.44e-06,0.757,171.925,0.061,1,0,4
37,0.798,0.838,-3.385,0.173,0.0,0.911,160.062,0.0735,6,1,4
38,0.743,0.911,-5.596,0.147,1.2e-05,0.891,154.933,0.0031,7,1,4
39,0.707,0.645,-5.395,0.321,2.38e-06,0.524,150.014,0.00654,6,0,4
40,0.669,0.73,-8.574,0.206,0.00388,0.457,149.897,0.354,1,0,4
41,0.751,0.662,-7.645,0.213,0.000127,0.279,147.033,0.024,11,1,4
42,0.698,0.546,-7.234,0.0559,0.00314,0.335,145.044,0.425,0,0,4
43,0.77,0.58,-8.393,0.247,0.000127,0.753,144.072,0.519,0,1,4
44,0.684,0.522,-6.877,0.0458,0.0,0.292,139.999,0.0313,9,0,4
45,0.821,0.341,-5.915,0.281,0.00746,0.344,139.885,8.73e-05,8,1,4
46,0.88,0.722,-5.003,0.123,1.02e-06,0.559,107.015,0.0239,8,1,4
47,0.882,0.669,-4.449,0.157,0.0,0.275,101.989,0.0102,1,1,4
48,0.938,0.613,-7.959,0.22,0.000162,0.275,99.938,0.0312,11,0,4
49,0.904,0.611,-7.001,0.314,1.78e-06,0.64,85.015,0.00179,1,0,4
0,0.856,0.452,-8.527,0.0545,0.192,0.368,126.007,0.0011,9,1,4
1,0.75,0.674,-6.128,0.097,8.91e-05,0.392,123.026,0.228,8,0,4
2,0.969,0.707,-5.509,0.258,0.0,0.421,124.991,0.00822,1,1,4
3,0.838,0.569,-6.324,0.0621,0.000136,0.551,136.965,0.152,5,0,4
4,0.673,0.722,-3.495,0.0755,0.0,0.519,117.187,0.0856,3,0,4
5,0.461,0.279,-11.776,0.0373,0.0,0.599,114.225,0.911,9,0,4
6,0.466,0.51,-7.31,0.0348,1.55e-06,0.418,67.513,0.0842,3,0,4
7,0.92,0.662,-7.659,0.244,0.00131,0.767,120.012,0.0026,0,1,4
8,0.92,0.759,-3.349,0.108,7.38e-06,0.598,137.961,0.274,2,1,4
9,0.645,0.729,-4.56,0.0528,0.0,0.142,146.01,0.0377,2,1,4
10,0.671,0.845,-4.93,0.048,0.0,0.775,110.056,0.0207,11,0,4
11,0.621,0.585,-5.632,0.0457,1.91e-06,0.668,132.004,0.12,10,0,4
12,0.786,0.504,-7.678,0.0938,0.0,0.346,121.967,0.0332,1,1,4
13,0.983,0.86,-3.583,0.0829,0.0,0.88,126.039,0.0131,9,1,4
14,0.75,0.733,-3.18,0.0319,0.0,0.844,111.018,0.256,6,0,1
15,0.789,0.763,-6.169,0.199,2.22e-05,0.272,140.107,0.123,1,1,4
16,0.612,0.961,-3.078,0.333,4.17e-05,0.867,129.873,0.107,10,0,5
17,0.61,0.599,-5.752,0.341,0.000124,0.805,154.255,0.183,1,1,5
18,0.418,0.31,-9.869,0.0625,0.0,0.131,139.614,0.095,11,0,4
19,0.816,0.649,-5.12,0.242,0.0,0.686,138.056,0.709,0,0,4
20,0.957,0.769,-6.044,0.155,1.26e-06,0.845,119.995,0.141,0,1,4
21,0.744,0.789,-4.876,0.059,0.00144,0.866,116.985,0.0036,9,0,4
22,0.885,0.576,-7.17,0.238,0.000235,0.805,76.004,0.0695,10,0,4
23,0.739,0.536,-10.843,0.308,0.0,0.64,82.549,0.231,1,1,4
24,0.871,0.655,-4.756,0.187,1.27e-06,0.588,82.988,0.0202,11,1,4
25,0.86,0.763,-9.871,0.203,0.0797,0.55,128.003,0.362,7,1,4
26,0.821,0.791,-4.93,0.163,0.0,0.434,95.021,0.147,2,1,4
27,0.797,0.444,-7.738,0.0411,0.00126,0.138,95.035,0.304,9,0,4
28,0.803,0.454,-4.802,0.0294,0.0,0.739,99.99,0.352,8,0,4
29,0.795,0.678,-7.905,0.0586,0.35,0.788,101.032,0.0398,11,0,4
30,0.859,0.446,-8.711,0.324,0.0,0.377,153.091,0.0173,2,1,4
31,0.789,0.614,-6.491,0.0579,0.00152,0.108,126.035,0.00348,1,1,4
32,0.868,0.538,-8.603,0.174,3.34e-06,0.732,99.968,0.269,5,1,4
33,0.639,0.723,-6.462,0.0532,0.0,0.878,136.872,0.511,7,0,4
34,0.799,0.682,-5.973,0.128,0.272,0.538,140.052,0.242,5,0,4
35,0.644,0.879,-5.204,0.0761,6.91e-06,0.808,126.935,0.00423,6,0,4
36,0.726,0.738,-4.788,0.355,0.0,0.896,121.953,0.0791,0,1,4
37,0.845,0.87,-2.612,0.184,0.0,0.584,94.018,0.123,4,0,4
38,0.752,0.647,-6.258,0.0316,0.00167,0.253,119.999,0.000915,10,1,4
39,0.467,0.755,-4.736,0.0832,0.00278,0.453,167.985,0.00283,10,0,4
40,0.804,0.656,-5.723,0.0896,1.86e-05,0.192,150.014,0.0207,6,0,4
41,0.638,0.717,-5.804,0.0375,1.79e-06,0.422,141.904,0.001,8,1,4
42,0.77,0.58,-8.393,0.247,0.000127,0.753,144.072,0.519,0,1,4
43,0.798,0.838,-3.385,0.173,0.0,0.911,160.062,0.0735,6,1,4
44,0.681,0.686,-5.259,0.31,0.0,0.568,151.137,0.077,11,1,4
