,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
0,0.358,0.557,-7.398,0.059,0,0.494,85.043,0.695,10,1,4,5uCax9HTNlzGybIStD3vDh
1,0.684,0.619,-7.005,0.0386,0,0.284,125.046,0.0716,10,1,4,630sXRhIcfwr2e4RdNtjKN
2,0.703,0.444,-9.331,0.0417,0,0.712,150.96,0.559,11,1,4,1EzrEOXmMH3G43AXT1y7pA
3,0.421,0.407,-7.445,0.0267,0.000961,0.161,139.028,0.309,10,1,3,6lanRgr6wXibZr8KgzXxBl
4,0.461,0.448,-10.665,0.0246,1.18e-06,0.418,173.86,0.161,7,1,4,0gcjc7Vt5xtcfmJgf6g2IO
5,0.371,0.609,-5.524,0.0295,0,0.426,136.526,0.386,11,1,3,5K7AMlpc4796JRWXb26nCV
6,0.558,0.719,-5.113,0.0267,0,0.371,112.027,0.0367,2,1,4,5QpaGzWp0hwB5faV8dkbAz
7,0.281,0.675,-6.033,0.0353,0,0.565,203.473,0.0399,10,1,4,7JA1UOFeaHRfQrFsqvROM5
8,0.63,0.53,-7.259,0.0434,0,0.417,108.038,0.4,0,1,3,2YlZnw2ikdb837oKMKjBkW
9,0.853,0.476,-6.696,0.0361,0,0.796,92.038,0.405,8,1,4,5EYBryPOgIEPB7r5QIy6eG
10,0.675,0.479,-9.87,0.0278,1.76e-05,0.454,81.998,0.633,0,0,4,0vg4WnUWvze6pBOJDTq99k
11,0.572,0.385,-6.362,0.0308,0,0.323,95.799,0.371,7,1,4,2VxeLyX666F8uXCJ0dZF8B
12,0.625,0.414,-8.7,0.0369,0,0.669,130.088,0.294,0,1,4,0IktbUcnAGrvD03AWnz3Q8
13,0.655,0.54,-6.482,0.0516,0,0.43,79.983,0.268,9,1,4,4NjR63Up0uMkQBlKvlZd1l
14,0.567,0.267,-6.502,0.0299,1.46e-06,0.0592,110.011,0.839,4,1,4,1ZMiCix7XSAbfAJlEZWMCp
15,0.697,0.474,-6.663,0.0351,0,0.249,127.904,0.603,9,1,4,0rFOs9paloAvEtzwDX1Kmc
16,0.433,0.307,-8.796,0.0327,0,0.378,178.114,0.65,0,1,4,5V7mTIcXVU9k2JNu0mE6vy
17,0.461,0.267,-8.514,0.0278,2.03e-05,0.481,87.918,0.834,0,1,4,2MWOqewf5j0qf2b6S5J6cS
18,0.667,0.613,-5.353,0.0344,0,0.47,91.024,0.403,1,1,4,7soJgKhQTO8hLP2JPRkL5O
19,0.66,0.666,-4.342,0.0472,0,0.933,89.975,0.0759,9,1,4,1HwpWwa6bnqqRhK8agG4RS
20,0.686,0.688,-4.981,0.0254,1.03e-06,0.493,123.125,0.39,6,0,4,4T6HLdP6OcAtqC6tGnQelG
21,0.687,0.537,-7.639,0.0305,0,0.264,120.023,0.561,10,1,4,4gJoAvFpDvaeqm2EKYGmhb
22,0.55,0.587,-6.279,0.0329,0,0.466,165.975,0.354,2,1,4,46n2EGFnPC3tzWCN1Aqe26
23,0.775,0.816,-5.534,0.0281,0,0.753,98.219,0.164,0,1,4,00WvmRXTkPBZNhhRK3xfdy
24,0.56,0.595,-4.53,0.0274,6.47e-05,0.144,104.011,0.199,9,1,4,5hnyJvgoWiQUYZttV4wXy6
25,0.575,0.786,-4.353,0.0296,0,0.518,96.102,0.252,9,1,4,35o9a4iAfLl5jRmqMX9c1D
26,0.587,0.299,-7.365,0.0263,0,0.356,94.992,0.779,8,1,3,1bhUWB0zJMIKr9yVPrkEuI
27,0.76,0.563,-6.975,0.028,0,0.359,99.023,0.106,4,0,4,0t78xGJe3jXsih4qRMId7I
28,0.644,0.549,-5.415,0.0285,8.85e-06,0.167,90.04,0.0209,1,0,4,6IwKcFdiRQZOWeYNhUiWIv
29,0.488,0.833,-3.876,0.0387,0,0.257,94.841,0.273,11,1,4,6Qm9MaditCcx5V62rVHYqu
30,0.635,0.841,-5.379,0.0422,0,0.424,109.021,0.0134,5,1,4,7BqBn9nzAq8spo5e7cZ0dJ
31,0.598,0.4,-10.054,0.0241,0,0.369,96.938,0.459,6,1,4,0jdeV5dSB3kUBRqe1xQJbh
32,0.626,0.134,-14.898,0.0298,0,0.239,91.893,0.467,6,1,4,1gVgkQFOKa8Wc1HYsJtPdH
33,0.636,0.625,-7.895,0.0277,5.35e-05,0.342,93.931,0.222,11,1,4,6dwkFmLUz6hx2CZG2EqLol
