,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
0,0.747,0.391,-13.767,0.052,0.003,0.195,102.984,0.529,0,1,4
1,0.377,0.298,-7.137,0.0347,0.0,0.0564,175.698,0.461,9,1,3
2,0.299,0.142,-15.134,0.0369,0.113,0.123,76.748,0.965,2,1,4
3,0.553,0.513,-5.834,0.03,0.0,0.266,110.2,0.0313,7,1,3
4,0.697,0.22,-13.696,0.042,0.0,0.194,129.966,0.703,0,1,4
5,0.431,0.323,-8.767,0.0347,0.0,0.131,63.614,0.77,11,1,4
6,0.504,0.308,-14.958,0.0321,0.135,0.121,113.95,0.868,9,1,4
7,0.444,0.0911,-17.665,0.0307,1.05e-06,0.142,78.403,0.959,0,1,4
8,0.55,0.419,-6.296,0.0428,0.0,0.228,77.923,0.297,1,1,5
9,0.429,0.453,-7.746,0.0459,2e-06,0.155,77.639,0.554,0,1,4
10,0.633,0.607,-6.182,0.0532,1.38e-06,0.363,74.029,0.183,0,0,4
11,0.571,0.544,-10.613,0.0299,0.00805,0.216,132.052,0.453,6,1,4
12,0.357,0.425,-7.301,0.0333,0.0,0.27,102.078,0.584,5,1,3
13,0.609,0.343,-7.93,0.0285,0.0,0.262,81.923,0.709,5,1,4
14,0.532,0.623,-9.208,0.0331,7.28e-05,0.403,89.937,0.538,5,1,4
15,0.371,0.268,-10.506,0.0281,0.0517,0.165,102.617,0.748,1,1,3
16,0.672,0.642,-4.035,0.0313,0.0,0.494,121.981,0.0981,5,1,4
17,0.38,0.339,-7.885,0.0338,0.0,0.0849,100.607,0.691,3,1,4
18,0.332,0.225,-8.697,0.0348,0.00349,0.297,81.055,0.767,0,1,3
19,0.369,0.192,-12.151,0.04,8.35e-06,0.148,175.212,0.555,4,0,3
20,0.516,0.322,-11.762,0.0292,0.00194,0.261,148.005,0.473,9,1,3
21,0.667,0.373,-9.389,0.05,0.0,0.0823,124.148,0.785,4,1,4
22,0.901,0.136,-16.127,0.102,0.354,0.643,150.076,0.667,8,0,4
23,0.362,0.54,-6.031,0.0528,0.0,0.3,78.007,0.338,10,1,3
24,0.626,0.547,-8.285,0.0342,1.67e-05,0.192,109.946,0.0656,4,1,4
25,0.209,0.417,-8.74,0.0338,0.00196,0.124,138.178,0.164,3,1,4
26,0.412,0.236,-15.159,0.0379,0.00653,0.119,140.214,0.83,4,0,4
27,0.369,0.272,-10.497,0.0364,0.0,0.218,172.929,0.866,9,1,4
28,0.498,0.59,-4.721,0.032,0.0,0.0784,145.867,0.511,1,0,4
29,0.567,0.267,-6.502,0.0299,1.46e-06,0.0592,110.011,0.839,4,1,4
30,0.447,0.441,-7.658,0.0456,4.36e-05,0.286,122.811,0.874,0,1,4
31,0.604,0.366,-7.519,0.0282,0.0,0.13,141.981,0.578,5,1,4
32,0.677,0.401,-8.467,0.0308,0.0,0.195,111.825,0.712,9,1,4
33,0.708,0.186,-8.953,0.042,0.0,0.322,72.541,0.868,9,0,4
34,0.416,0.762,-7.385,0.0279,0.804,0.461,95.967,0.312,2,1,4
35,0.676,0.461,-3.59,0.0304,0.0,0.466,107.95,0.555,3,1,4
36,0.48,0.199,-12.398,0.0329,0.0563,0.201,165.476,0.931,6,1,4
37,0.548,0.307,-9.214,0.0781,0.0,0.317,127.923,0.916,10,1,4
38,0.582,0.568,-7.3,0.0275,0.0,0.394,121.991,0.577,1,1,3
39,0.311,0.485,-5.726,0.0365,0.0,0.225,77.355,0.701,6,0,4
