,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,liveness,type,id,uri,track_href,analysis_url,duration_ms
0,0.59,0.632,-7.996,0.0376,0,0.345,110.0,0.301,7,1,4,0.169,audio_features,58SIEtTjWErr0yEXVBKxvd,spotify:track:58SIEtTjWErr0yEXVBKxvd,https://api.spotify.com/v1/tracks/58SIEtTjWErr0yEXVBKxvd,https://api.spotify.com/v1/audio-analysis/58SIEtTjWErr0yEXVBKxvd,153003.0
1,0.589,0.885,-3.4,0.035,0,0.831,91.01,0.545,4,1,4,0.132,audio_features,6H7fLdt0AeWpuxUKXuXWrx,spotify:track:6H7fLdt0AeWpuxUKXuXWrx,https://api.spotify.com/v1/tracks/6H7fLdt0AeWpuxUKXuXWrx,https://api.spotify.com/v1/audio-analysis/6H7fLdt0AeWpuxUKXuXWrx,586076.0
2,0.325,0.427,-7.741,0.0339,0,0.435,75.716,0.719,6,1,3,0.192,audio_features,1Zi1HxNIWVFHx1RxOXkTjB,spotify:track:1Zi1HxNIWVFHx1RxOXkTjB,https://api.spotify.com/v1/tracks/1Zi1HxNIWVFHx1RxOXkTjB,https://api.spotify.com/v1/audio-analysis/1Zi1HxNIWVFHx1RxOXkTjB,417216.0
3,0.698,0.446,-11.845,0.028,3.21e-05,0.296,109.969,0.872,4,1,1,0.0736,audio_features,735bRwgZ4sTH5Vs3iFVnDr,spotify:track:735bRwgZ4sTH5Vs3iFVnDr,https://api.spotify.com/v1/tracks/735bRwgZ4sTH5Vs3iFVnDr,https://api.spotify.com/v1/audio-analysis/735bRwgZ4sTH5Vs3iFVnDr,288545.0
4,0.577,0.805,-0.553,0.0398,0,0.347,77.094,0.662,5,1,4,0.201,audio_features,3ZBTv0pKvJ6YId7ozxW4Uv,spotify:track:3ZBTv0pKvJ6YId7ozxW4Uv,https://api.spotify.com/v1/tracks/3ZBTv0pKvJ6YId7ozxW4Uv,https://api.spotify.com/v1/audio-analysis/3ZBTv0pKvJ6YId7ozxW4Uv,331385.0
5,0.692,0.482,-8.246,0.0274,0,0.388,122.879,0.405,7,1,4,0.152,audio_features,5Q175erZOZJZHKaZzJFYDN,spotify:track:5Q175erZOZJZHKaZzJFYDN,https://api.spotify.com/v1/tracks/5Q175erZOZJZHKaZzJFYDN,https://api.spotify.com/v1/audio-analysis/5Q175erZOZJZHKaZzJFYDN,241933.0
6,0.293,0.237,-8.17,0.0284,0,0.108,92.935,0.78,6,1,4,0.11,audio_features,7r9kOxiNDnkAg5QKqtyjVk,spotify:track:7r9kOxiNDnkAg5QKqtyjVk,https://api.spotify.com/v1/tracks/7r9kOxiNDnkAg5QKqtyjVk,https://api.spotify.com/v1/audio-analysis/7r9kOxiNDnkAg5QKqtyjVk,215613.0
7,0.262,0.361,-10.187,0.0333,0.00268,0.056,126.786,0.508,2,1,4,0.108,audio_features,5Mw9bXG1dLNhbjofkVS2oR,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,https://api.spotify.com/v1/tracks/5Mw9bXG1dLNhbjofkVS2oR,https://api.spotify.com/v1/audio-analysis/5Mw9bXG1dLNhbjofkVS2oR,535963.0
8,0.143,0.073,-28.019,0.0427,0.835,0.0348,141.011,0.939,2,1,4,0.102,audio_features,17mJsiuoDPQwVfgk8G9Nxj,spotify:track:17mJsiuoDPQwVfgk8G9Nxj,https://api.spotify.com/v1/tracks/17mJsiuoDPQwVfgk8G9Nxj,https://api.spotify.com/v1/audio-analysis/17mJsiuoDPQwVfgk8G9Nxj,163000.0
9,0.572,0.685,-7.29,0.0356,0,0.232,110.698,0.0291,6,1,4,0.0963,audio_features,0rH0mprtecH3grD9HFM5AD,spotify:track:0rH0mprtecH3grD9HFM5AD,https://api.spotify.com/v1/tracks/0rH0mprtecH3grD9HFM5AD,https://api.spotify.com/v1/audio-analysis/0rH0mprtecH3grD9HFM5AD,333386.0
10,0.0782,0.0477,-28.6,0.0537,0.8,0.0384,81.762,0.204,0,1,4,0.0754,audio_features,6fucZ6mdZ6OoeDdBbgN6ZC,spotify:track:6fucZ6mdZ6OoeDdBbgN6ZC,https://api.spotify.com/v1/tracks/6fucZ6mdZ6OoeDdBbgN6ZC,https://api.spotify.com/v1/audio-analysis/6fucZ6mdZ6OoeDdBbgN6ZC,82410.0
11,0.226,0.0218,-16.418,0.0365,0.00144,0.182,75.565,0.946,5,1,5,0.159,audio_features,3pP8pyWvQX6vbrpEcRYgqa,spotify:track:3pP8pyWvQX6vbrpEcRYgqa,https://api.spotify.com/v1/tracks/3pP8pyWvQX6vbrpEcRYgqa,https://api.spotify.com/v1/audio-analysis/3pP8pyWvQX6vbrpEcRYgqa,288305.0
12,0.625,0.727,-3.035,0.0308,0,0.894,86.471,0.777,4,1,3,0.0717,audio_features,3ZF9iTthw2m6w8MsNC0daD,spotify:track:3ZF9iTthw2m6w8MsNC0daD,https://api.spotify.com/v1/tracks/3ZF9iTthw2m6w8MsNC0daD,https://api.spotify.com/v1/audio-analysis/3ZF9iTthw2m6w8MsNC0daD,368700.0
13,0.476,0.393,-5.207,0.032,0,0.295,112.976,0.889,1,1,5,0.116,audio_features,2FJogCUuqj3uDTbty6FOey,spotify:track:2FJogCUuqj3uDTbty6FOey,https://api.spotify.com/v1/tracks/2FJogCUuqj3uDTbty6FOey,https://api.spotify.com/v1/audio-analysis/2FJogCUuqj3uDTbty6FOey,328168.0
14,0.318,0.573,-5.653,0.0324,0,0.0765,156.054,0.107,1,1,4,0.0854,audio_features,0jOSpB2zK2O0SNxj8ZT5lp,spotify:track:0jOSpB2zK2O0SNxj8ZT5lp,https://api.spotify.com/v1/tracks/0jOSpB2zK2O0SNxj8ZT5lp,https://api.spotify.com/v1/audio-analysis/0jOSpB2zK2O0SNxj8ZT5lp,305427.0
15,0.395,0.575,-5.829,0.0326,0,0.187,169.983,0.22,4,1,4,0.102,audio_features,6NU7EbNi0lwgqaApqBTCZt,spotify:track:6NU7EbNi0lwgqaApqBTCZt,https://api.spotify.com/v1/tracks/6NU7EbNi0lwgqaApqBTCZt,https://api.spotify.com/v1/audio-analysis/6NU7EbNi0lwgqaApqBTCZt,270269.0
16,0.646,0.647,-7.669,0.0255,0,0.677,136.005,0.0712,7,1,4,0.216,audio_features,6lMk5sY36yHg5vY2Q29lJd,spotify:track:6lMk5sY36yHg5vY2Q29lJd,https://api.spotify.com/v1/tracks/6lMk5sY36yHg5vY2Q29lJd,https://api.spotify.com/v1/audio-analysis/6lMk5sY36yHg5vY2Q29lJd,253200.0
17,0.413,0.636,-5.651,0.0407,0,0.203,176.048,0.0186,9,1,4,0.106,audio_features,50f6Sc85lbQgEaOfQm41Zr,spotify:track:50f6Sc85lbQgEaOfQm41Zr,https://api.spotify.com/v1/tracks/50f6Sc85lbQgEaOfQm41Zr,https://api.spotify.com/v1/audio-analysis/50f6Sc85lbQgEaOfQm41Zr,211600.0
18,0.42,0.612,-5.359,0.048,0,0.135,159.685,0.0917,4,1,4,0.0914,audio_features,1G5S1rEr4L57ftizRHcYDP,spotify:track:1G5S1rEr4L57ftizRHcYDP,https://api.spotify.com/v1/tracks/1G5S1rEr4L57ftizRHcYDP,https://api.spotify.com/v1/audio-analysis/1G5S1rEr4L57ftizRHcYDP,248253.0
19,0.237,0.133,-20.336,0.0348,3.26e-05,0.097,171.49,0.842,2,1,4,0.389,audio_features,1PSFtCx1i5J6b7mSxhTXIz,spotify:track:1PSFtCx1i5J6b7mSxhTXIz,https://api.spotify.com/v1/tracks/1PSFtCx1i5J6b7mSxhTXIz,https://api.spotify.com/v1/audio-analysis/1PSFtCx1i5J6b7mSxhTXIz,102907.0
20,0.162,0.0599,-27.666,0.038,0.925,0.0386,132.712,0.966,9,1,4,0.0908,audio_features,5tqb1P8EzPXBYWz7XtVOZF,spotify:track:5tqb1P8EzPXBYWz7XtVOZF,https://api.spotify.com/v1/tracks/5tqb1P8EzPXBYWz7XtVOZF,https://api.spotify.com/v1/audio-analysis/5tqb1P8EzPXBYWz7XtVOZF,185000.0
21,0.0834,0.0188,-32.719,0.0567,0.354,0.0336,167.774,0.219,0,1,3,0.0878,audio_features,5fYsehSsvX5H4VpMNrGN98,spotify:track:5fYsehSsvX5H4VpMNrGN98,https://api.spotify.com/v1/tracks/5fYsehSsvX5H4VpMNrGN98,https://api.spotify.com/v1/audio-analysis/5fYsehSsvX5H4VpMNrGN98,73043.0
22,0.129,0.179,-17.081,0.0459,0.013,0.0735,59.407,0.98,9,1,4,0.134,audio_features,1wIQ2Nm0raqOapHK4bCD3J,spotify:track:1wIQ2Nm0raqOapHK4bCD3J,https://api.spotify.com/v1/tracks/1wIQ2Nm0raqOapHK4bCD3J,https://api.spotify.com/v1/audio-analysis/1wIQ2Nm0raqOapHK4bCD3J,211067.0
23,0.58,0.3,-12.911,0.0602,1.25e-06,0.197,85.033,0.546,5,1,1,0.169,audio_features,0jZq0zDujagh2kLVYVGsN8,spotify:track:0jZq0zDujagh2kLVYVGsN8,https://api.spotify.com/v1/tracks/0jZq0zDujagh2kLVYVGsN8,https://api.spotify.com/v1/audio-analysis/0jZq0zDujagh2kLVYVGsN8,144351.0
24,0.596,0.264,-16.659,0.0264,0.296,0.443,103.995,0.921,1,1,4,0.208,audio_features,7ehIxbkcQjTjpi061mbYxQ,spotify:track:7ehIxbkcQjTjpi061mbYxQ,https://api.spotify.com/v1/tracks/7ehIxbkcQjTjpi061mbYxQ,https://api.spotify.com/v1/audio-analysis/7ehIxbkcQjTjpi061mbYxQ,531520.0
